0.09	22.5	<font color='darkgreen'><b>Gwendolyn Brooks</b></font>	Speaker
0.091	22.5	<font color='darkgreen'>--I wonder how many others have regarded this connection? And no, James Baldwin did not start the fire. He foretold it's coming. He was a pre-reporter. He was a prophet, his friends</font>	Transcription
22.501	30.78	<font color='darkgreen'>enjoy calling him Jimmy. (Remember that he was alive when I wrote this). And that is easy to understand.</font>	Transcription
11	12	[Laughter]	Environment
31.141000000000002	54.3	<font color='darkgreen'>The man is love personified. He has a sweet, softly loving, endearing smile. He has a voice that can range from eerie, effortless menace -- menace educational and creative -- to this low, cradling,</font>	Transcription
54.660999999999994	58.53	<font color='darkgreen'>insinuating, and involving love.</font>	Transcription
58.980999999999995	79.2	<font color='darkgreen'>This love is at once both father and son to a massive concern. A concern for his own people, surely. But for the cleansing the extension of all the world's categories, no less surely, since he knows</font>	Transcription
79.26100000000001	88.5	<font color='darkgreen'>surely that the fortunes of <i>these over here</i> affect inevitably, the fortunes of <i>those over there</i>.</font>	Transcription
89.76100000000001	113.43	<font color='darkgreen'>Essayist, novelist, poet, playwright, new French Legion of Honor medalist (and he was at that time), human being, being human! And I said James Baldwin, and the crowd went wild! Angela Jackson is an</font>	Transcription
113.43100000000001	121.86	<font color='darkgreen'>experimenter. She respects many people, but she long ago decided not to sound like them.</font>	Transcription
105	109	[Laughter]	Environment
122.79100000000001	141.54	<font color='darkgreen'>So she ended up sounding like Angela Jackson. So many little twists and turns in her work. Rarely are you prepared for them. So many satisfying perceptions of actuals, we recognize remember, or are</font>	Transcription
141.541	162.54	<font color='darkgreen'>now ready to learn. Such impudent portraits of people. People she paints or invents. Such combos of colloquial and obscure, bound to confound and delight. And I say: well, here is something different</font>	Transcription
162.931	164.01	<font color='darkgreen'>for your dinner.</font>	Transcription
164.761	183.93	<font color='darkgreen'>I hope there are some award givers in the audience here. You remember these names. Michael Harper believes that delight is possible for the reader, as well as the creator of poetry. Believes that the</font>	Transcription
183.931	200.82	<font color='darkgreen'>reader, when permitted, participates in the act of creation, extending often this wonder of making within the limits, of course, of individual experience and fantasy.</font>	Transcription
171	172	[Page Turns]	Environment
201.481	222.45	<font color='darkgreen'>Well, Michael Harper is right there to cooperate with this need of the reader. Further, in much of his poetry, he has defied the Orthodox, the alien, the prescribed, the timid, and the dim. His work</font>	Transcription
222.451	239.43	<font color='darkgreen'>with language is various and respectful. Here is the author of the classic <I>A Mother Speaks: The Algiers Motel Incident, Detroit</i>, and of other shapely and persuasive excellences.</font>	Transcription
239.641	257.19	<font color='darkgreen'>And he did read that poem yesterday. I was just sitting there, daring him to omit it, as he often does. Because I think that's my favorite among the poems that he has written. And I'm so glad that I</font>	Transcription
257.191	269.16	<font color='darkgreen'>didn't have to shout up from the audience for Rita to read <i>The Island Women of Paris</i>, which among all of her many rich poems is my favorite. Thank you.</font>	Transcription
271.08099999999996	296.58	<font color='darkgreen'>Now let's see now. I have -- I had six Chicano poets: Sandra Cisneros, Luis Omar Salinas, Alberto Ríos, and Lorna Dee Cervantes. But I'm not going to read those notes. I wanted to, but we don't have</font>	Transcription
296.611	298.23	<font color='darkgreen'>that much time.</font>	Transcription
272	274	[Pages turning]	Environment
299.46099999999996	316.26	<font color='darkgreen'>Because I do want you to hear some of my poetry. There are people here, I'm sure, who have never heard a single one of my poems. Before I come to Haki and Sonia, I can't resist reading this little</font>	Transcription
316.291	322.89	<font color='darkgreen'>squib that introduced Louis Simpson. Do many of you know Louis Simpson?</font>	Transcription
324.45099999999996	339.81	<font color='darkgreen'>I started out by saying: Something wicked, this way comes. Here comes Louis Simpson -- He was sitting there getting redder and redder as he listened to this -- Here comes Louis Simpson, communicator</font>	Transcription
339.811	361.92	<font color='darkgreen'>of intricate darkness of feeling and instinct. So says Donald Hall. Firey defender of Gary Snyder, accused universally. Certain circles cite him as coldly capable of exhaustive wickedness.</font>	Transcription
329	330	[Laughter]	Environment
363.631	382.62	<font color='darkgreen'>Not I, I didn't say so. For almost two decades, he has been soundly spanked for opining that if blacks write only about Blackness, they are inadequate. That they are, in fact, non-poets.</font>	Transcription
365	367	[Laughter]	Environment
384.121	401.58	<font color='darkgreen'>You decide for yourselves whether or not that's wicked. But I myself found out how dangerous Simpson the savior can be. I remember with delight that years ago, at Stony Brook, I was having a lovely</font>	Transcription
401.58099999999996	423.63	<font color='darkgreen'>peaceful lunch with this poet and teacher, in a cheerfully sunny room, when I made the quotes, &quot;mistake&quot;, end quotes, of saying that there were no Grrrreat (capital G and lots of Rs), Grrrreat poets,</font>	Transcription
424.981	427.32	<font color='darkgreen'>living and writing today.</font>	Transcription
427.561	448.8	<font color='darkgreen'>That was some years ago. What we -- that we know of, that is, because of course there is always some unknown genius, toiling at the top of a tenement, about to burst full-bodied and beautiful and</font>	Transcription
448.801	459.15	<font color='darkgreen'>persuasive upon the populace. &quot;No great poets? Gary Snyder!&quot;, screamed Louis.</font>	Transcription
430	432	[Laughter]	Environment
460.351	481.47	<font color='darkgreen'>He turned red -- he can do that -- and lifting himself to hellish height in his chair, bit my head off. And I said in parentheses, that is why I have no head. Oh well. Wicked or not, Lewis Simpson,</font>	Transcription
481.561	495.06	<font color='darkgreen'>poet of careful subjectivity, poet of luminous requiring lyricism, is here tonight. (And I wave to you).</font>	Transcription
463	465	[Laughter]	Environment
470	472	[Laughter]	Environment
491	497	[Applause]	Environment
498.84099999999995	517.68	<font color='darkgreen'>Haki Madhubuti and Sonia Sanchez, they came together. The introducing is longer tonight because I have a double introduction, and one that seeks to put some things in place. Both these poets at times</font>	Transcription
517.711	519.63	<font color='darkgreen'>have been called racists.</font>	Transcription
520.771	538.17	<font color='darkgreen'>I define racism as prejudice <i>with</i> oppression. That is, you are permitted to detest green eyes. That's all right. That's personal. What you are not permitted to do is kill every green eyed</font>	Transcription
538.1709999999999	550.02	<font color='darkgreen'>individual you encounter. That's not all right. That's oppression. These two people are not killers.</font>	Transcription
542	548	[Applause]	Environment
550.531	567.54	<font color='darkgreen'>They are lovers of humanity: of what is human. They are interpreters and protectors of Blackness. They are subscribers to what is beautiful in the world. They will offer you representative Black</font>	Transcription
567.5409999999999	577.65	<font color='darkgreen'>poetry. My saying that does not assault our mutual understanding that there are respectable Black uniquities.</font>	Transcription
578.071	596.7	<font color='darkgreen'>However, today many Black poets are flopping off in worrisome directions. Many of them do not know what to do or be. Many of them want above all things not to be Black. Black people who want above all</font>	Transcription
596.701	608.67	<font color='darkgreen'>things not to be Black are the most pitiable and comical people in the world.</font>	Transcription
603	609	[Applause]	Environment
608.6709999999999	628.23	<font color='darkgreen'>The poets among such fight Blackness with every punch and pout in their power. Such people are very busy imitating the new moderns: those manufacturers of chopped-up journalism, dazed and dopey.</font>	Transcription
629.011	646.74	<font color='darkgreen'>Such people have been fondled and adopted by non-spunky white poets and critics who of course have no interest in preserving and in firming the bolts, the binders of Blackness. They would like</font>	Transcription
646.741	649.44	<font color='darkgreen'>Blackness to disappear altogether.</font>	Transcription
651.271	666.45	<font color='darkgreen'>Insert: &quot;Oh, dear!&quot; I know history may repeat itself. Do you know -- well you'll be able to tell just when this was written, and I told you in 1985.</font>	Transcription
664	665	[Cough]	Environment
667.441	689.46	<font color='darkgreen'>Do you know that precious past election story about Jesse Jackson? He was crossing a large body of water in a small boat with the Pope. It was windy. Suddenly the Pope's little cap flew off his head.</font>	Transcription
689	690	[Laughter]	Environment
